Zone,Hospital,Type,Date,Measure Name,Actual,CTAS
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-03-01,Emergency Visits CTAS,13,2.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-03-01,Emergency Visits CTAS,85,3.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-03-01,Emergency Visits CTAS,128,4.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-03-01,Emergency Visits CTAS,16,5.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-04-01,Emergency Visits,254,
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-04-01,Emergency Visits CTAS,0,1.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-04-01,Emergency Visits CTAS,10,2.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-04-01,Emergency Visits CTAS,95,3.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-04-01,Emergency Visits CTAS,131,4.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-04-01,Emergency Visits CTAS,18,5.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-05-01,Emergency Visits,306,
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-05-01,Emergency Visits CTAS,1,1.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-05-01,Emergency Visits CTAS,12,2.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-05-01,Emergency Visits CTAS,107,3.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-05-01,Emergency Visits CTAS,168,4.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-05-01,Emergency Visits CTAS,17,5.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-06-01,Emergency Visits,315,
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-06-01,Emergency Visits CTAS,0,1.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-06-01,Emergency Visits CTAS,13,2.0
